uid,trace
2060,-4.723498 34.63639 0.0;-4.72351 34.63684 0.0;-4.723248 34.63674 0.0;-4.723424 34.63631 0.0;-4.723498 34.63639 0.0;-4.723498 34.63639 0.0;
2061,-4.817543 34.50828 0.0;-4.81756 34.50777 0.0;-4.817596 34.50776 0.0;-4.817615 34.50772 0.0;-4.817698 34.50765 0.0;-4.817939 34.50772 0.0;-4.81807 34.50781 0.0;-4.818041 34.50799 0.0;-4.818042 34.50812 0.0;-4.817779 34.50826 0.0;-4.817556 34.50831 0.0;-4.817534 34.50829 0.0;-4.817543 34.50828 0.0;-4.817543 34.50828 0.0;
2062,-4.883637 34.62592 0.0;-4.883817 34.62552 0.0;-4.88389 34.62559 0.0;-4.883934 34.62575 0.0;-4.883637 34.62592 0.0;
2063,-5.636744 34.01403 0.0;-5.637248 34.01472 0.0;-5.636632 34.01507 0.0;-5.63635 34.0146 0.0;-5.636744 34.01403 0.0;
2064,-5.557625 33.9423 0.0;-5.557965 33.94208 0.0;-5.557956 33.94178 0.0;-5.557726 33.94159 0.0;-5.55752 33.94177 0.0;-5.557625 33.9423 0.0;-5.557625 33.9423 0.0;
2065,-5.398539 34.08426 0.0;-5.398315 34.08419 0.0;-5.398292 34.08415 0.0;-5.398203 34.08406 0.0;-5.398188 34.08399 0.0;-5.398587 34.08414 0.0;-5.398569 34.08425 0.0;-5.398539 34.08426 0.0;-5.398539 34.08426 0.0;
2066,-5.424628 34.07097 0.0;-5.424608 34.07096 0.0;-5.42456 34.07097 0.0;-5.424453 34.07096 0.0;-5.424308 34.07066 0.0;-5.424324 34.07041 0.0;-5.424388 34.0702 0.0;-5.42446 34.0701 0.0;-5.424557 34.07005 0.0;-5.424867 34.07014 0.0;-5.424662 34.07059 0.0;-5.424628 34.07097 0.0;
2067,-5.420657 34.01044 0.0;-5.420265 34.01053 0.0;-5.420201 34.01049 0.0;-5.420215 34.0104 0.0;-5.420891 34.0099 0.0;-5.420889 34.0099 0.0;-5.420947 34.00978 0.0;-5.421112 34.00963 0.0;-5.421224 34.00953 0.0;-5.421381 34.00961 0.0;-5.421459 34.00967 0.0;-5.421651 34.00973 0.0;-5.421765 34.00988 0.0;-5.421544 34.01002 0.0;-5.420657 34.01044 0.0;-5.420657 34.01044 0.0;
2068,-5.337434 34.10839 0.0;-5.337673 34.10823 0.0;-5.33771 34.10822 0.0;-5.337725 34.10826 0.0;-5.337731 34.10832 0.0;-5.337727 34.10839 0.0;-5.337678 34.10856 0.0;-5.337434 34.10839 0.0;
2069,-5.332709 34.13647 0.0;-5.332467 34.13661 0.0;-5.332467 34.13661 0.0;-5.33235 34.13667 0.0;-5.332342 34.13666 0.0;-5.332352 34.13658 0.0;-5.332654 34.13602 0.0;-5.332655 34.13602 0.0;-5.332638 34.13608 0.0;-5.332719 34.13618 0.0;-5.332814 34.13613 0.0;-5.332826 34.13613 0.0;-5.332905 34.1361 0.0;-5.332986 34.13624 0.0;-5.332726 34.13645 0.0;-5.332709 34.13647 0.0;-5.332709 34.13647 0.0;
2070,-5.299845 34.25749 0.0;-5.299804 34.25748 0.0;-5.299795 34.25748 0.0;-5.299631 34.25764 0.0;-5.299631 34.25766 0.0;-5.299536 34.25766 0.0;-5.299506 34.25765 0.0;-5.299502 34.25765 0.0;-5.299423 34.25753 0.0;-5.299423 34.25753 0.0;-5.299714 34.25731 0.0;-5.299714 34.25731 0.0;-5.300012 34.25716 0.0;-5.300012 34.25716 0.0;-5.30006 34.25713 0.0;-5.300098 34.25712 0.0;-5.300098 34.25712 0.0;-5.300049 34.25725 0.0;-5.299901 34.25735 0.0;-5.299911 34.25739 0.0;-5.299845 34.25749 0.0;-5.299845 34.25749 0.0;
2071,-5.518216 34.02621 0.0;-5.517228 34.03164 0.0;-5.517172 34.03167 0.0;-5.516993 34.03172 0.0;-5.516811 34.03166 0.0;-5.516705 34.03148 0.0;-5.516909 34.03143 0.0;-5.518216 34.02621 0.0;-5.518216 34.02621 0.0;
2072,-5.259266 34.22295 0.0;-5.25915 34.2227 0.0;-5.259068 34.22274 0.0;-5.258957 34.22264 0.0;-5.25858 34.22295 0.0;-5.258604 34.22306 0.0;-5.259266 34.22295 0.0;-5.259266 34.22295 0.0;
2073,-5.302867 34.2052 0.0;-5.302987 34.20552 0.0;-5.30302 34.2055 0.0;-5.302968 34.20526 0.0;-5.302923 34.20524 0.0;-5.302867 34.2052 0.0;-5.302867 34.2052 0.0;
2074,-5.194175 34.27346 0.0;-5.194713 34.27274 0.0;-5.195287 34.27254 0.0;-5.195728 34.27304 0.0;-5.195687 34.27333 0.0;-5.195632 34.27335 0.0;-5.194175 34.27346 0.0;-5.194175 34.27346 0.0;
